ticker,event_id,direction,threshold_pct,start_date,acceleration_date,peak_date,start_price,acceleration_price,peak_price,gain_pct,duration_days,days_consolidating_before,pre_move_volatility_pct,is_fakeout,failed_at_pct,snapshot_lookbacks_captured,signals_fired,earliest_signal_days_before
STC,STC_2023-06-21_up_10,UP,10.0,2023-06-21,2023-10-02,2024-02-11,2.174403468681916,2.25278105464775,3.3147562540240614,52.444396900884584,167,25,,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",11,90
STC,STC_2023-06-22_up_10,UP,10.0,2023-06-22,2023-10-02,2024-02-11,2.1557215531196086,2.25278105464775,3.3147562540240614,53.765510635043725,166,6,,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",11,90
STC,STC_2023-06-25_up_10,UP,10.0,2023-06-25,2023-10-02,2024-02-11,2.12520071049757,2.25278105464775,3.3147562540240614,55.97379756418312,165,7,20.517773332044243,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",11,90
STC,STC_2023-07-11_up_10,UP,10.0,2023-07-11,2023-10-02,2024-03-05,2.0991123505507554,2.25278105464775,3.4074986359375843,62.3304553014297,170,14,14.048950659682003,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",11,90
STC,STC_2023-07-13_up_10,UP,10.0,2023-07-13,2023-10-02,2024-03-05,2.088421937369817,2.25278105464775,3.4074986359375843,63.161407901557844,168,16,15.431015566943316,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",11,90
STC,STC_2023-07-16_up_10,UP,10.0,2023-07-16,2023-10-02,2024-03-05,2.061475164934882,2.25278105464775,3.4074986359375843,65.29418805999639,167,6,16.026173946987655,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",11,90
STC,STC_2023-07-18_up_10,UP,10.0,2023-07-18,2023-10-02,2024-03-05,2.031576523923395,2.25278105464775,3.4074986359375843,67.72681687406973,165,3,14.663609395175312,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",11,90
STC,STC_2023-07-19_up_10,UP,10.0,2023-07-19,2023-10-02,2024-03-05,2.0139352675133755,2.25278105464775,3.4074986359375843,69.1960357864359,164,4,16.938874503880403,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",11,90
STC,STC_2023-07-23_up_10,UP,10.0,2023-07-23,2023-10-02,2024-03-05,1.9836797341528465,2.25278105464775,3.4074986359375843,71.7766521112742,162,3,17.48595599926091,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",11,90
STC,STC_2023-08-21_up_10,UP,10.0,2023-08-21,2023-10-02,2024-03-05,2.1504596536658167,2.25278105464775,3.4074986359375843,58.454432294460176,141,15,21.022133901924555,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",11,90
STC,STC_2023-08-22_up_10,UP,10.0,2023-08-22,2023-10-02,2024-03-05,2.138687049064774,2.25278105464775,3.4074986359375843,59.32665966381797,140,16,20.37532387207136,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",11,90
