ticker,event_id,direction,threshold_pct,start_date,acceleration_date,peak_date,start_price,acceleration_price,peak_price,gain_pct,duration_days,days_consolidating_before,pre_move_volatility_pct,is_fakeout,failed_at_pct,snapshot_lookbacks_captured,signals_fired,earliest_signal_days_before
NBK,NBK_2023-06-11_up_10,UP,10.0,2023-06-11,2023-11-19,2023-11-23,3.046703590757032,3.518028416425177,3.777533402531386,23.987558684458712,119,9,,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",12,90
NBK,NBK_2023-06-12_up_10,UP,10.0,2023-06-12,2023-11-19,2023-11-23,3.0339075879547743,3.518028416425177,3.777533402531386,24.51049654672925,118,10,,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",12,90
NBK,NBK_2023-06-19_up_10,UP,10.0,2023-06-19,2023-11-19,2023-11-23,2.9825650454157118,3.518028416425177,3.777533402531386,26.65384811431233,113,11,,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",12,90
NBK,NBK_2023-07-31_up_10,UP,10.0,2023-07-31,2023-11-19,2024-03-31,3.0239716334704525,3.518028416425177,4.213032978905216,39.32118053865936,174,45,15.682734206876518,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",12,90
NBK,NBK_2023-08-02_up_10,UP,10.0,2023-08-02,2023-11-19,2024-03-31,2.9860820597360496,3.518028416425177,4.213032978905216,41.08898866890552,172,44,15.725931350904174,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",12,90
NBK,NBK_2023-08-06_up_10,UP,10.0,2023-08-06,2023-11-19,2024-03-31,2.9583139805812757,3.518028416425177,4.213032978905216,42.41331402143466,170,11,16.39004312705714,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",12,90
NBK,NBK_2023-08-08_up_10,UP,10.0,2023-08-08,2023-11-19,2024-03-31,2.9582911243687353,3.518028416425177,4.213032978905216,42.41441432861776,168,13,17.827533651622826,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",12,90
NBK,NBK_2023-09-28_up_10,UP,10.0,2023-09-28,2023-11-19,2024-05-22,3.2353528784709304,3.518028416425177,4.523325292193315,39.809333389657844,169,34,14.53549619606955,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",12,90
NBK,NBK_2023-10-01_up_10,UP,10.0,2023-10-01,2023-11-19,2024-05-22,3.2077409602015536,3.518028416425177,4.523325292193315,41.012798362281046,168,35,16.189192048255187,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",12,90
NBK,NBK_2023-10-02_up_10,UP,10.0,2023-10-02,2023-11-19,2024-06-09,3.190450074056372,3.518028416425177,4.531005519875201,42.01775344236724,179,5,16.499190108520757,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",12,90
NBK,NBK_2023-10-03_up_10,UP,10.0,2023-10-03,2023-11-19,2024-06-09,3.1589982169077944,3.518028416425177,4.531005519875201,43.431721348371155,178,3,16.01088151365822,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",12,90
NBK,NBK_2023-11-09_up_10,UP,10.0,2023-11-09,2023-11-19,2024-07-17,3.2752478680450072,3.518028416425177,4.9337563091092544,50.63764661128409,179,60,17.568646929929795,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",12,90
NBK,NBK_2023-12-12_up_10,UP,10.0,2023-12-12,2024-02-15,2024-08-18,3.3774414816904734,3.502196860398381,5.351466351277975,58.44734484043421,178,11,27.041372412600634,False,,"[90, 60, 30, 14, 7, 3, 1, 0]",14,90
